gene,mask
A4GALT,-0.0798032283782959
AADAC,0.1700296401977539
AADAT,-0.36803627014160156
AASS,0.1775524616241455
AATK,-0.2524895668029785
ABAT,0.15957903861999512
ABCA1,-0.2397327423095703
ABCA12,0.042519569396972656
ABCA2,0.216843843460083
ABCA3,0.0016243457794189453
ABCA5,0.15428686141967773
ABCA7,-0.0480496883392334
ABCB1,-0.42356014251708984
ABCB6,0.15615081787109375
ABCC1,0.1660013198852539
ABCC2,-0.3657498359680176
ABCC3,0.04077911376953125
ABCC4,0.2207479476928711
ABCC5,0.16874909400939941
ABCD1,0.24431920051574707
ABCG1,0.0716245174407959
ABCG2,0.21670794486999512
ABHD11,0.037206172943115234
ABHD14B,0.2729222774505615
ABHD15,0.03324413299560547
ABHD2,0.06937742233276367
ABHD3,-0.10596847534179688
ABHD4,-0.07185506820678711
ABHD6,0.24349212646484375
ABHD8,0.2082674503326416
ABI3,0.1999208927154541
ABI3BP,-0.006632089614868164
ABL2,0.23195719718933105
ABLIM1,0.10130953788757324
ABLIM3,0.07096505165100098
ABR,-0.027792930603027344
ABTB1,0.09520125389099121
ABTB2,0.15698647499084473
ACAA2,0.13976263999938965
ACADM,0.016045093536376953
ACADS,0.06062602996826172
ACAN,-0.01021432876586914
ACAP1,0.23230910301208496
ACAP3,-0.08853387832641602
ACAT1,-0.05396866798400879
ACAT2,0.08490824699401855
ACBD7,0.16599345207214355
ACCS,-0.11514687538146973
ACER2,-0.08661270141601562
ACO1,0.21335649490356445
ACOT1,0.11335921287536621
ACOT2,-0.25095701217651367
ACOT4,0.16265439987182617
ACOT7,0.06946015357971191
ACOT9,0.2428739070892334
ACP5,0.19229650497436523
ACPP,0.2522737979888916
ACSF2,0.20109844207763672
ACSL1,-0.09642267227172852
ACSL3,0.2008676528930664
ACSL4,0.09460210800170898
ACSL5,0.14577412605285645
ACSM3,-0.16797208786010742
ACSS1,0.14664196968078613
ACSS2,-0.03662467002868652
ACSS3,0.08515381813049316
ACTA2,0.20910096168518066
ACTC1,0.19678807258605957
ACTG2,-0.4250655174255371
ACTL8,-0.13491511344909668
ACTN1,0.1916513442993164
ACTN4,0.05063772201538086
ACVR1,-0.14355230331420898
ACVR1B,0.04359030723571777
ACY1,-0.005251884460449219
ACY3,-0.043107032775878906
ADA,0.14506006240844727
ADAM11,0.0015139579772949219
ADAM12,0.07959294319152832
ADAM15,0.19055819511413574
ADAM19,-0.061830997467041016
ADAM22,0.19079828262329102
ADAM23,-0.0568232536315918
ADAM8,-0.21179986000061035
ADAM9,-0.1504065990447998
ADAMTS1,0.06052422523498535
ADAMTS10,0.06190371513366699
ADAMTS12,0.05390357971191406
ADAMTS14,0.2895677089691162
ADAMTS15,-0.22487282752990723
ADAMTS2,0.0706477165222168
ADAMTS3,0.2718827724456787
ADAMTS6,0.1590867042541504
ADAMTS7,0.13780641555786133
ADAMTS9,0.03436899185180664
ADAMTSL1,0.0697929859161377
ADAMTSL4,-0.4379734992980957
ADAMTSL5,0.2607266902923584
ADAP1,-0.22951722145080566
ADARB1,-0.03354215621948242
ADCY1,-0.06124258041381836
ADCY3,0.07871174812316895
ADCY6,-0.3081483840942383
ADCY7,0.13962125778198242
ADCY9,0.12836194038391113
ADD2,-0.11753201484680176
ADD3,-0.5328190326690674
ADM,-0.23630142211914062
ADM2,0.10212373733520508
ADORA1,-0.417142391204834
ADORA2B,0.01722240447998047
ADPRH,0.12307167053222656
ADPRHL1,0.09235477447509766
ADRA1D,-0.22650933265686035
ADRA2C,-0.018872737884521484
ADRB2,-0.07340407371520996
ADRBK1,0.08819174766540527
ADRBK2,0.12668514251708984
ADSSL1,0.1043548583984375
AEBP1,0.1856544017791748
AEN,-0.2472834587097168
AFAP1,-0.22221064567565918
AFAP1L1,-0.24996662139892578
AFAP1L2,0.09915494918823242
AFF1,0.18543481826782227
AFF3,-0.0430142879486084
AFP,-0.09789156913757324
AGA,0.014369726181030273
AGAP1,-0.04865741729736328
AGAP2,0.014456748962402344
AGAP3,0.21337080001831055
AGFG2,0.2503230571746826
AGMAT,0.16112875938415527
AGPAT2,0.004180908203125
AGPAT3,-0.13014745712280273
AGPAT4,0.22179579734802246
AGPAT5,-0.19309377670288086
AGR2,0.16898894309997559
AGR3,0.0701134204864502
AGRN,0.01554417610168457
AGTPBP1,0.002057313919067383
AGTRAP,0.16566228866577148
AHCYL2,-0.300767183303833
AHNAK,0.1093449592590332
AHNAK2,-0.04806208610534668
AHR,0.02984309196472168
AHRR,0.1257340908050537
AHSA2,0.09075689315795898
AHSG,0.1833789348602295
AIF1L,0.11379313468933105
AIFM2,0.02398061752319336
AIG1,0.0753483772277832
AIM1,0.19338297843933105
AIM1L,0.058373451232910156
AIM2,0.04111456871032715
AK1,0.23601388931274414
AK3,0.2216932773590088
AK5,-0.06861233711242676
AKAP1,-0.16297554969787598
AKAP12,0.20388031005859375
AKAP7,0.07777690887451172
AKNA,-0.24323058128356934
AKR1B1,-0.2644367218017578
AKR1B10,0.019022226333618164
AKR1B15,-0.015094757080078125
AKR1C1,0.04088711738586426
AKR1C2,0.20572519302368164
AKR1C3,-0.17966580390930176
AKR1E2,0.1300675868988037
AKR7A3,0.19322943687438965
AKT3,0.10385680198669434
ALB,0.21530461311340332
ALCAM,-0.23363566398620605
ALDH16A1,0.09224653244018555
ALDH1A1,-0.036791086196899414
ALDH1A2,0.10633969306945801
ALDH1A3,-0.09958243370056152
ALDH1B1,-0.19658756256103516
ALDH1L1,-0.03491687774658203
ALDH1L2,-0.035002708435058594
