gene,delta
AEN,0.0009001630924456855
AFAP1,0.0016742507718811722
AFAP1L1,0.00022055826442116122
AFAP1L2,-0.0011967443638014191
AFF1,0.0011221452796588843
AFF3,-2.2714902077489163e-05
AFP,-0.00022126123866347824
AGA,0.00013169627188365507
AGAP1,0.0006414556267041877
AGAP2,0.0005827596809832025
AGAP3,-0.002294021185428999
AGFG2,0.0029970103521846925
AGMAT,-0.00047833648023547226
AGPAT2,-0.0007500976499004858
AGPAT3,-0.0017947891844789926
AGPAT4,0.003560564219025286
AGPAT5,-0.001044930053495527
AGR2,-0.00022088983031871845
AGR3,-0.00044560944154266313
AGRN,-0.003944140259964132
AGTPBP1,0.0005235000337414086
AGTRAP,-0.00049714164776897
AHCYL2,0.0006430526375513362
AHNAK,0.002625095963116761
AHNAK2,0.0015103701698361283
AHR,-4.357750364156199e-06
AHRR,-0.00019228923317969604
AHSA2,0.00019949859308066031
AHSG,-0.00027510593326024457
AIF1L,0.00043274083849406675
AIFM2,0.0018649296919693165
AIG1,0.0002258544674627605
AIM1,-0.0005600546418367686
AIM1L,3.0519983720556088e-06
AIM2,0.0026574351574722016
AK1,-0.006077287051872202
AK3,-0.0031098122751650054
AK5,0.0022392300894382017
AKAP1,0.001198363099522759
AKAP12,-0.0003617302373113973
AKAP7,-0.0007580122803195061
AKNA,-0.0011603804374705068
AKR1B1,-7.646248913822928e-05
AKR1B10,-0.0002731128107794911
AKR1B15,-2.7227972045906768e-05
AKR1C1,0.0018754551945341924
AKR1C2,0.0014813258070977692
AKR1C3,0.0006114569676788917
AKR1E2,0.0005259135609714666
AKR7A3,-0.0008378357839875644
AKT3,-0.0017679330256456932
ALB,0.0003871643121772378
ALCAM,-0.0015065171135686811
ALDH16A1,2.708959919636711e-05
ALDH1A1,-1.9449688599598725e-05
ALDH1A2,9.038889665780037e-05
ALDH1A3,-0.0025308006414156287
ALDH1B1,-0.0012606491281853954
ALDH1L1,0.0015740588030807717
ALDH1L2,-0.00010255848206403018
ALDH2,0.0051772073536992536
ALDH3A1,0.0005457581407512652
ALDH3A2,0.002680391019374756
ALDH3B1,-0.0016434412142499605
ALDH3B2,-6.939772729266935e-06
ALDH4A1,-0.0007309250227502256
ALDH5A1,0.0001826645228311108
ALDH7A1,0.00047926483841505274
ALDOC,-0.0016853148267770152
ALG1L,0.0013223949124021167
ALK,-0.000403037044099816
ALKBH3,-0.0009583383386255889
ALOX5,-0.0006831889804452679
ALOX5AP,0.0015302096508948981
ALPK2,0.0005705283316213283
ALPK3,-0.0011568678307454366
ALPL,-0.0015069653224721452
ALPP,3.690230269561001e-05
ALPPL2,1.70282903365071e-05
ALS2CL,0.0009975136713046007
ALX1,-0.00043337333941521894
AMACR,0.0001819613198133091
AMBP,0.0001666968152272824
AMDHD2,1.5746291692889103e-05
AMH,-0.0020591953343686714
AMIGO2,0.0007048147229655466
AMN,6.752312822561057e-05
AMOT,0.002818399573689387
AMOTL1,0.0002801641467694016
AMOTL2,0.0025969435219808656
AMPD3,-0.00032168102171066526
AMPH,-0.001785357306853655
AMT,0.0013107845132092205
ANGPT1,-0.0025042025784489524
ANGPTL2,0.0017464366906830425
ANGPTL4,0.0016287448574269225
ANK1,-0.0015923517183668162
ANK2,0.00016872421272587368
ANK3,-0.0011532833518058533
ANKH,-0.0014803595360795424
ANKLE1,0.00014624829533232964
ANKRD1,-0.0002643730129099353
ANKRD10,0.0032466623383853033
ANKRD13A,-0.0005652005888748951
ANKRD13B,-0.0021273115668885983
ANKRD2,-0.0001130985173846133
ANKRD22,-0.0003097237828723204
ANKRD29,-0.0013755808468285807
ANKRD37,0.002387910956786865
ANKRD44,0.00122539107881936
ANKRD50,0.000628363088052919
ANKRD6,-0.0007414825532262997
ANKRD9,0.0012818105027465193
ANKS4B,2.9910618180029047e-06
ANKS6,3.198277488193624e-05
ANLN,-0.0012888997994400103
ANO1,-0.00037916463640871867
ANO10,0.0006914434499480926
ANO6,-0.0007412735170807955
ANO8,-0.00018617025943251653
ANO9,-2.9218494388680294e-05
ANP32E,-0.0011002841761964671
ANPEP,0.00027360790603289664
ANTXR1,0.0012481467435853377
ANTXR2,0.0022654957493791483
ANXA1,-0.0008817934229368024
ANXA10,0.00018620414125476714
ANXA11,0.0008150306133286461
ANXA2,0.00243824339051274
ANXA3,-0.0017229797534929064
ANXA4,0.0012140876540712303
ANXA5,0.00271654674544565
ANXA6,-3.697141750617916e-05
ANXA8,-5.808497355359876e-05
ANXA8L1,-4.42152273099905e-05
ANXA9,4.3172951981709784e-05
AOX1,0.00010159302736577336
AP1G2,-0.0010137253055895606
AP1M2,-0.0001529452169973522
AP1S1,-0.0006271639645969024
AP1S2,0.002472119356884142
AP1S3,-0.00011373195174291251
AP3B2,-0.0003310120242232678
APBA1,0.0033807932598848983
APBA2,-0.0014424207496498281
APBB1,9.657410578672865e-05
APBB1IP,-0.0011157291003125597
APBB2,0.0012773746199584574
APCDD1,0.0010104281144103222
APCDD1L,-0.0014101315968488154
APH1B,0.000882952039534951
APLN,-0.0031732121881986736
APLP1,-0.0012234026915377422
APLP2,0.004517403282447624
APOA1,-0.0004964184363292629
APOBEC3B,-0.00037398387082879236
APOBEC3C,-0.0010250762394676122
APOBEC3D,-5.281836119450101e-05
APOBEC3F,-0.0007950786638393631
APOBEC3G,0.0006430083274867188
APOC1,-0.005299015002848587
APOD,0.0016491003882693478
APOE,-0.00027016915894459426
APOH,-0.00027659406313181034
APOL1,0.0010858554894270928
APOL2,-0.0005063194325915094
APOL3,-0.0017277717548577903
APOL6,0.00035564648202132676
APOLD1,-0.0002774813594061676
APP,-0.0007736370755986183
AQP3,-0.0005606068362192657
AQP5,0.002258638373248842
AR,-0.0001883988438730888
ARAP2,0.0005571556830329394
ARAP3,-0.0011812350476984174
AREG,-0.001107058208390757
ARF4,-0.0022371564999901367
ARG2,0.0008473416108493448
ARGLU1,0.0010813286084807444
ARHGAP10,-0.0005378738910159914
ARHGAP15,-0.0007051845746981061
ARHGAP18,-3.3780679824235715e-05
ARHGAP19,-0.0001264850077015156
ARHGAP21,0.0014004764630003302
ARHGAP22,-0.00027570426299165784
ARHGAP23,-0.0009328139917881978
ARHGAP24,0.00041452938829041053
ARHGAP25,0.0005389928749507528
ARHGAP26,0.00025824521380855836
ARHGAP27,-0.0005984083738991147
ARHGAP29,0.0001884141791417271
ARHGAP30,0.0012427255507113932
ARHGAP31,0.0008264743295281762
ARHGAP32,-0.0002095636992980182
ARHGAP33,-0.0006026740445837647
ARHGAP39,-4.226932183257204e-06
ARHGAP4,-0.001067795666691393
ARHGAP42,0.00045381390492414686
ARHGAP5,-0.0005916554620705311
ARHGAP9,-0.0024561967607235197
ARHGDIB,-0.002354735000431915
ARHGEF1,-0.002113298315863557
