gene,delta
ALG1L,0.00010082200805855424
ALK,-0.0003365633416831937
ALKBH3,-0.0007802680155316877
ALOX5,-0.0001973365363783508
ALOX5AP,0.00014576021831289032
ALPK2,-0.000300861081656556
ALPK3,-0.0004885336975084531
ALPL,-0.00042785787330451575
ALPP,-6.39294957481551e-05
ALPPL2,-0.000154125999032112
ALS2CL,-0.0004828843569662511
ALX1,-0.00038608171619006204
AMACR,-0.00029108487176893183
AMBP,-0.0002681886314645221
AMDHD2,0.0005593782657328794
AMH,-0.00011309956212296468
AMIGO2,-0.00029359807727796783
AMN,-0.00029282347813155973
AMOT,1.9728565630844352e-05
AMOTL1,0.0002879087298442162
AMOTL2,-0.000529514616107507
AMPD3,-0.00014911231277492387
AMPH,-0.0006166584141756859
AMT,-0.00019357621678528503
ANGPT1,-0.0004549660322976101
ANGPTL2,-0.001028955832366174
ANGPTL4,0.0001813678136999286
ANK1,-0.00021623923166461112
ANK2,-0.0003111644641557443
ANK3,-0.00027893852682681075
ANKH,-0.0004823282647966609
ANKLE1,-0.0003272384700520603
ANKRD1,-0.0003169265997569337
ANKRD10,-0.00021898492424490823
ANKRD13A,-0.00021800077595937606
ANKRD13B,-0.0006390024836672448
ANKRD2,-0.0003136210311882881
ANKRD22,-0.0003888357956035038
ANKRD29,-0.0006735037061578741
ANKRD37,-0.00036926547996674053
ANKRD44,-0.0002467861796361104
ANKRD50,-0.0003021829698152956
ANKRD6,-9.856357275594974e-05
ANKRD9,-6.348741580694539e-05
ANKS4B,-0.0002337848381034069
ANKS6,-0.0006795037279268556
ANLN,-0.0008537319310889246
ANO1,-0.00023480771718095705
ANO10,9.097933879265163e-05
ANO6,-0.00019241752850374105
ANO8,-0.000516189150382873
ANO9,-0.00032642742419453086
ANP32E,-0.0003893203492578434
ANPEP,-0.0006562007318285379
ANTXR1,-0.000356713104188805
ANTXR2,7.322215821112255e-05
ANXA1,-0.0001721683858941503
ANXA10,-0.0015465583984437536
ANXA11,-0.0004073969470445027
ANXA2,0.00013817676950370061
ANXA3,-0.0006277868062334047
ANXA4,-0.0008574145956329049
ANXA5,-0.0006548905453016562
ANXA6,0.000338992090264556
ANXA8,-0.0004792778796411379
ANXA8L1,-0.0007047555074549405
ANXA9,-0.00020863686654085112
AOX1,-0.00038283882000009206
AP1G2,-0.00010473189882029277
AP1M2,-0.00024289381625453021
AP1S1,4.841898378055154e-05
AP1S2,-0.00010684369180624653
AP1S3,-0.0005722891235362404
AP3B2,-0.00010084949668970333
APBA1,0.0004107510369641132
APBA2,-0.0007508905544702793
APBB1,2.4354851806296374e-05
APBB1IP,-9.301617896295689e-05
APBB2,-7.996710613089597e-05
APCDD1,-0.0003392611130413059
APCDD1L,-0.00045175134011532503
APH1B,-0.0001629490057570293
APLN,-0.000218593670492373
APLP1,2.737577794528767e-05
APLP2,0.0009060390004649033
APOA1,-0.0001734460052935649
APOBEC3B,4.9091497977271636e-05
APOBEC3C,-0.0003547703733041141
APOBEC3D,-0.0002652638511903005
APOBEC3F,-0.0002753985245309565
APOBEC3G,-0.0007028480307403329
APOC1,-0.0017741035893359125
APOD,0.00031327643600154165
APOE,-0.0005843106701370893
APOH,-0.0003640449905967791
APOL1,-0.00028479764063066293
APOL2,-0.0011980366431189604
APOL3,-0.00044258690087845
APOL6,-0.0003210466838317605
APOLD1,-6.637615588989121e-05
APP,-0.000824831993487235
AQP3,-0.0005200044484669486
AQP5,-0.0002299636046492748
AR,3.161581067215313e-05
ARAP2,-0.00037495071753604337
ARAP3,-0.0007886968218270562
AREG,-0.000428322966661121
ARF4,2.026279113825913e-05
ARG2,-0.0003149207865851267
ARGLU1,-1.8622601885676104e-05
ARHGAP10,-0.00010403169419165303
ARHGAP15,-7.066834450891735e-05
ARHGAP18,-0.0004386961484831864
ARHGAP19,-0.00035925558039834327
ARHGAP21,6.415683290961205e-06
ARHGAP22,-0.0008857536241705377
ARHGAP23,-0.0003375434768767005
ARHGAP24,0.0001969230737235983
ARHGAP25,-0.00010490294891718488
ARHGAP26,-0.00028327927638197026
ARHGAP27,-0.0003824755268481972
ARHGAP29,-0.0002980236574619821
ARHGAP30,-1.622462246841927e-05
ARHGAP31,-0.0004577295599263731
ARHGAP32,0.00010435418026000232
ARHGAP33,-0.0001317370543700569
ARHGAP39,-0.0002624045726900004
ARHGAP4,-0.00038086730806641267
ARHGAP42,-9.839470611980317e-05
ARHGAP5,-7.89195882984206e-05
ARHGAP9,-0.0003932822865869712
ARHGDIB,8.8142941823105e-05
ARHGEF1,-0.0006865461605976286
ARHGEF10,-0.0007373022069842028
ARHGEF10L,-0.0005635674632219478
ARHGEF11,-0.00041632148520542867
ARHGEF12,-0.00038651524384589186
ARHGEF16,-0.0003602976426382021
ARHGEF17,0.00012110926633371322
ARHGEF19,-0.00017180604416808243
ARHGEF2,2.258558309164993e-05
ARHGEF3,1.656645408479318e-05
ARHGEF35,-0.00016114296806238326
ARHGEF37,-3.7195568447223604e-05
ARHGEF4,0.0002757232631774298
ARHGEF5,-0.0003978510390654777
ARHGEF6,-0.00012985335938234255
ARHGEF9,-7.340218846130231e-06
ARID3A,-0.0005944024410425297
ARID3B,-0.00018302415338619649
ARID5A,-0.00044758389071269944
ARID5B,-0.00020188239047116974
ARL10,-0.000416171564969009
ARL14,-5.761089412159581e-05
ARL4A,-0.00023351741723495745
ARL4C,-0.00018080668099051955
ARL4D,6.691859185214977e-05
ARL6IP5,0.00017847066364451436
ARMC9,-0.00045080827671603596
ARMCX1,-0.0007855069552281102
ARMCX2,-0.00036335255391681254
ARMCX3,-0.0005812394416566946
ARMCX6,-0.0006814819546384354
ARNT2,-0.0008796821649714737
ARNTL,-0.0004461296261272507
ARNTL2,-3.842760674782619e-05
ARPC1A,-0.00010829874783568894
ARPC1B,0.00016406766758317315
ARRB1,-2.811078332859429e-06
ARRB2,-0.000481126882928673
ARRDC1,-5.8572679745488854e-05
ARRDC2,-0.0008018047738878042
ARRDC3,-4.865722252955784e-05
ARRDC4,-0.0006383475484469103
ARSA,-0.0007940783140270857
ARSB,-0.000239251686608849
ARSD,-0.0002537675938977524
ARSE,-0.0003475962579747027
ARSI,-0.0004306979476966788
ARSJ,-0.00022944922264869771
ARTN,-0.0004469953602133925
ARVCF,-0.0003640128447941482
ASAH1,-0.00012764682042801234
ASAP1,-0.00016856615896543303
ASAP2,-0.00021889403983119116
ASAP3,-0.0004526524208051941
ASB13,-0.0005492248749696393
ASB2,-0.000449822750534401
ASB9,-0.000356941521836851
ASCL1,-0.00022380308112066039
ASCL2,-0.0002826867270966926
ASF1B,-0.00024582078116791584
ASL,0.0004535034439799024
ASMTL,-0.00014836692102845883
ASNS,-0.0006788038974210042
ASPH,-5.227524239057035e-05
ASPHD1,-0.0005098415440429049
ASPHD2,-0.0005927917597462473
ASPM,-0.00018465175128054567
ASRGL1,-0.00019902739131610891
ASS1,-0.0012242349114514328
ATAD2,-0.0004621087961892145
ATAD3B,-0.00047770131163665797
ATCAY,-0.0002720391012904222
ATF3,-0.00022147246612405636
ATF5,-0.0005034692348787617
ATF7IP2,-0.00026034421630358184
ATG16L2,-3.0292287854727373e-05
ATHL1,-0.00010073954185541023
ATL1,0.0006508744405425149
ATL3,0.00029478693958504
ATN1,0.00022950971727697667
ATOH8,-8.120852402043743e-05
ATOX1,0.0002915843001160823
ATP10A,-0.0006350060444188232
ATP10D,-0.0001330959176178148
ATP11A,-0.00034239630358251505
ATP11C,-0.0003378952937094226
ATP13A2,-0.0008542603853092801
ATP1A1,-0.0003534440642924408
ATP1A3,-0.0003308773346378524
ATP1B1,-0.001170460977493265
ATP2A3,-0.0002727485799278173
ATP2B1,-0.0005215549813742115
ATP2B4,0.0006158361871412554
ATP2C2,-0.00020935183841847005
ATP6V0A1,0.00022475922187403796
ATP6V0A4,-0.00032256148779255533
ATP6V0E1,-0.00029248268471440686
ATP6V0E2,-0.00039248958356963293
ATP6V1B1,-0.0004716230628626361
ATP6V1B2,0.00039911443476081665
ATP6V1C2,-0.00038813880229024433
ATP7B,-0.0003585153853212786
ATP8A1,-0.00014251761679925923
ATP8B1,-0.0004294671988756549
ATP8B2,-0.0003507556183535432
ATP8B3,-0.0001849520429811624
ATP9A,2.6038370268904876e-05
ATRN,-0.000513625832780279
ATXN1,-0.0002493242187195377
AURKA,-0.00020365777142147823
AURKB,-0.00012277235013494203
AUTS2,-8.36059942267986e-05
AVPI1,-0.0010810175408320077
AXIN2,-7.536768602126043e-05
AXL,-0.0006984697921182392
AZGP1,0.0011761252081546048
AZU1,-0.0003182916851851014
B2M,0.0007424774739993589
B3GALNT1,-0.0005888801127002519
B3GALT2,-0.0002378304103531903
B3GALT4,-5.9339754025278246e-05
B3GALT5,-7.186876187154079e-05
B3GNT2,-0.0005303059599736926
B3GNT3,-1.7861094198073912e-05
B3GNT7,-0.0003940176978564358
B3GNTL1,-0.0003568000543945071
B4GALNT1,-7.983955301452128e-05
B4GALNT3,-0.00038197787006230555
B4GALNT4,-0.00023510836275619784
B4GALT1,-0.0003729983723570196
B4GALT4,-0.000642009882146688
B4GALT5,0.0006353561070565061
B4GALT6,-0.00025935793545794894
B9D1,-0.0005532046156176418
BAALC,-0.0001864785387898915
BACE1,0.00018912291241127144
BACE2,-0.0014319107804923459
BACH2,-0.00025469636222927305
BAG1,-0.0003159007748104181
BAG2,-0.0005869172983485327
BAG3,-0.000532835388300873
BAIAP2,-0.0003344514541936683
BAIAP2L1,-0.0005352432252038186
BAIAP2L2,-0.0010326423223662173
BAIAP3,-0.000423733628887063
BAMBI,6.462155842446027e-05
BANK1,-0.00032571175885443004
BARX1,-0.0004292849306283819
BARX2,-0.000386943916769078
BASP1,-0.0003283645924208045
BATF,-0.0003356696827581662
BATF2,-0.000440249436783835
BATF3,4.2252872846260114e-05
BBC3,-0.0003314856618578388
BBS5,-0.0002173014107716975
BCAM,0.00025132049540671497
BCAR1,0.0003505179769770772
BCAR3,-0.0004297852155529802
BCAS1,-0.0001784398171779944
BCAS4,-0.0005741633048032824
BCAT1,-0.0005237371140938141
BCHE,-0.000792719180945034
BCL11A,-0.0003706939124187292
BCL11B,-0.00026146488491990416
BCL2,-0.00016140106046383385
BCL2A1,-0.00047085426146234455
BCL2L1,0.0007760993676303174
BCL2L11,-0.0002909105628438602
BCL2L12,-0.0003898969261597329
BCL2L15,-0.00022577127562442567
BCL2L2,-0.00011335723647576401
BCL3,-0.0009736047405128345
BCL6,-0.0002158519232377254
BCL7A,-0.00044491059762136187
BCL9,-0.0004787533793632892
BCL9L,0.0001532729037051761
BCOR,-0.00019813827460540834
BCR,1.5614811424397024e-05
BDH1,-0.0005350877990642489
BDH2,-4.210777702939872e-05
BDNF,-0.00021380071902696307
BEND5,-0.0005075725231817041
BEND7,-0.000509736086466539
BEX1,-0.00034790733949796593
BEX2,0.00048644786557280884
BEX4,-0.00037811910016066763
BEX5,-0.00029434043593382087
BGN,0.0008176429412704855
BHLHE22,-0.0003553646477371386
BHLHE40,-0.0009770485364767323
BHLHE41,-2.5684903651040925e-05
BHMT2,2.3168828354208637e-05
BICC1,-0.0003200312091314883
BID,-0.0005776802412831017
BIK,-0.0006939273596587026
BIN1,-0.0007974370205262593
BIN2,-0.00010376793618011027
BIRC2,-0.00036263299841815533
BIRC3,9.1146187607416e-06
BIRC7,-8.738193654858617e-05
BIVM,-0.0005619613260394729
BLCAP,5.19994831843229e-05
BLK,-0.0002771510011640166
BLM,-0.00032068576181001895
BLMH,-0.0010998354119912401
BLNK,1.0781895206923853e-05
BLVRA,-0.0006110733448748129
BLVRB,0.000166068373857714
BMF,-0.00015775398117826023
BMI1,0.00012019831207310538
BMP1,-0.0008598552290713102
BMP2,-0.0008048858243754897
BMP4,0.00047259782233655123
BMP6,-0.0002956395353385377
BMP7,-0.00017021578497722345
BMP8B,-0.0002162205952306595
BMPER,-2.879181901491168e-05
BMPR2,-0.0005905038392552131
BNC1,-0.0005561897013690031
BNC2,-0.00027810787850174323
BNIP3,-0.0008146837376442617
BNIP3L,-0.0007491670573609721
BOC,-0.0002985291986487837
BOK,-0.0001652366495524249
BOLA1,-0.0007018856275158303
BOP1,7.779889861656009e-05
BPGM,-0.0003466086549845093
BRI3,-0.000151796867009113
BRI3BP,-0.0005708421419217957
BRSK1,-0.0002698540074404232
BRSK2,-0.0005833199697943825
BSCL2,-0.000365026480877495
BSPRY,-0.0005055457002834385
BST1,-0.00044814673029247576
BST2,-0.00019900679160386736
BTBD11,-0.00011680908444422489
BTBD19,-0.00026510305873003737
BTBD3,-5.1641402899732514e-05
BTBD6,-0.0008097542420570925
BTC,-0.00025610017364252613
BTG1,3.6025839046688324e-05
BTG2,2.58313714113223e-06
BTG3,-0.0007214996233067261
BTK,-0.0003645266669191072
BTN2A2,-0.0007263893489979911
BTN3A1,-0.0009860347601122754
BTN3A2,-0.0006386328560868126
BTN3A3,-0.0006685380300952004
BTNL9,-0.000810469290301874
BUB1B,-0.0004960794537685054
BVES,-2.869360367965812e-05
BZRAP1,2.6706557373773476e-05
BZW2,-0.0002724442853301867
C10orf10,-0.0006083270199614965
C10orf35,-0.0005879727312910199
C10orf54,-0.00014394921657417958
C10orf99,-0.00029859283953426186
C11orf21,-0.00037346366404508724
C11orf24,5.739235998436509e-05
C11orf68,-0.0005433866750374217
C11orf74,-0.0010734078956587678
C12orf57,-0.0003853967726308305
C12orf75,1.4283202122683525e-05
C14orf132,9.944461471453336e-05
C14orf159,-0.0008338291025845324
C15orf39,-0.0003965626626413199
C15orf48,-0.0006553738773783235
C15orf52,0.0003999071190403103
C16orf45,-0.0003465407969801826
C16orf54,-0.00029482794125409995
C16orf62,-0.0004281414226578739
C16orf74,-0.0005522652592802602
C17orf51,-0.00025858521226831965
C17orf96,-0.00037054406173681054
C18orf32,-0.000347586071710676
C19orf33,-0.0002787628450435231
C19orf57,-0.00020266660999559982
C19orf60,-0.0005970821324359221
C19orf66,-0.0007227862149068176
C19orf71,-0.00026140408857183717
C1GALT1C1,-0.0001304081829504311
C1QL1,0.0004114627528205017
C1QL4,-0.00012446628181922437
C1QTNF1,-0.0006463476218609987
C1QTNF6,-0.00015588484441489414
C1R,-0.0005616362333469571
C1RL,-0.0005325721718148213
C1S,0.0001592663460946997
C1orf106,-0.0007114981423827216
C1orf115,-0.0005557265032396785
C1orf116,-0.00038670159721301833
C1orf186,-0.00012398064378218998
C1orf198,-0.0005525803696754816
C1orf21,0.00019485047135203715
C1orf210,-0.00020966424123303185
C1orf216,0.0001603384616531145
C1orf228,-0.00018505266415991262
C1orf54,0.00013629536893450256
C1orf56,-0.00017838715698448304
C20orf194,-0.00019003211111626173
C20orf24,0.0004109994762672431
C20orf96,-0.0006178492588895523
C21orf58,-0.00014186093342133388
C21orf91,-0.0001484866818828312
C2CD2,-0.0005635275613562196
C2orf48,-0.00026857889081000064
C2orf54,-0.000595316531440071
C2orf72,-0.00021400181031272503
C3,0.0006131232304473211
C3orf14,-7.099769711424453e-05
C3orf18,-0.0007070256047798651
C3orf52,-0.0002450780013973364
C3orf58,-0.00012781783570448013
C4BPB,2.5171900386727897e-05
C4orf32,-0.00018492830406746652
C4orf46,-0.00024422079276031905
C4orf48,-0.00031369121677238265
C5,-0.00016403234745343553
C5orf30,-0.00045148373220291194
C5orf38,-0.0004292559069697943
C5orf42,-0.00010171863774513512
C5orf46,0.00017770865863397933
C6orf1,0.0002766860644160263
C6orf132,-0.00015260361267535605
C6orf141,-0.0003586883908171523
C6orf15,-0.0003170870263748127
C6orf223,-0.000272615301973117
C6orf226,-0.0006636685562961264
C6orf48,-9.011590581059492e-05
C7orf50,-0.0003466932452738103
C8orf4,0.0004796606322466923
C8orf58,-0.0001455855470887113
C9orf116,-0.0005007968352419012
C9orf152,-3.599290012870626e-05
C9orf3,0.0001895651180786051
C9orf64,-0.0004467374092492482
C9orf72,-0.00024894780417866746
CA11,-0.0003006992319367907
CA12,-0.00044276188378331027
CA14,-0.00023508539607924872
CA2,-0.0001232633853552878
CA8,-0.00033670865901994085
CA9,-0.0008223193420383579
CAB39L,-0.00011385625810603206
CABLES1,-0.00023524968183583073
CABYR,-0.0002872222559020532
CACHD1,-0.00029260622966537086
CACNA1A,-0.00034301623676424864
CACNA1H,-0.0004034275947697452
CACNA2D1,-0.00025665614074726895
CACNA2D2,-0.0004118475596252835
CACNA2D4,-0.00021964299582247215
CACNB3,-0.0007479907698020039
CACNG4,-0.0001836769633165869
CACNG6,-0.00040822871362711233
CACNG7,-0.00035848739724200773
CADM1,-0.00039822860414664984
CADM3,-7.808347830476348e-05
CADM4,-0.00011997755488665773
CADPS,1.5476389401247737e-05
CADPS2,-0.00048218779960448876
CALB1,-0.00029374907828316754
CALB2,-7.908715821947077e-05
CALCA,-0.0003069714472591911
CALCB,-0.00031096986686110495
CALCOCO1,-0.0006236141899409187
CALCRL,-0.00020536178049146425
CALD1,-0.001357122388894627
CALHM2,-0.00028032367668251457
CALML3,-0.00023563615620503242
CALML4,-0.00026578301140078864
CALU,-0.000473821032114935
CAMK1,-0.0005091950104322285
CAMK1D,0.0003117809243577685
CAMK2D,0.00046068224811246505
CAMK2N1,0.0004138936381939684
CAMK2N2,-0.00020810109882499206
CAMK4,-0.00034751581996025904
CAMKK1,-0.0007747191946459175
CAMKV,-0.0005090679360983674
CAND2,-8.095904082236483e-05
CAP2,-0.00047570115177858474
CAPG,0.00020196702369379427
CAPN1,0.0005056690965397903
CAPN2,0.0001360391719456011
CAPN3,-0.00021585869054754903
CAPN5,0.0003007043185557501
CAPN6,0.00013515930599172776
CAPN8,4.787228113722897e-05
CAPNS2,-0.0003994559434239431
CAPRIN2,7.916437310642732e-05
CAPS,0.0002836047110191253
CARD10,-0.0001311933736258819
CARD11,-0.0004338462815231814
CARD16,-0.00019864445991438218
CARD6,-0.0006983001117317755
CARD8,0.00020810760739709
CARD9,-0.0003769703348356912
CARHSP1,-0.00038420356272286793
CASK,-9.637642353857445e-05
CASKIN2,-5.993690356484449e-05
CASP1,8.320977961617793e-05
CASP10,-0.00029160470579550624
CASP4,-0.000579361829065761
CASP6,-0.0003456274412520499
CASP7,-0.00039529328959792
CASP8,-0.00029710467067115
CAST,-0.0013745889668458633
CASZ1,-0.00035974034799929333
CAT,4.845419656882011e-05
CAV1,-0.00017425800120055013
CAV2,0.00036785801754665726
CBFA2T2,-0.00022990960352217704
CBFA2T3,-0.00035104963276849643
CBLB,-0.0006532794943579223
CBLC,-0.0007914525914550774
CBLN1,-0.0003562327622703698
CBR1,-0.0009521441857779644
CBR3,-0.00030177640747522383
CBS,-0.0003392298724235743
CBX1,-0.00040662161061627566
CBX2,-0.0002537286645038772
CBX4,4.5656146502592865e-06
CBX5,-0.00051202477269921
CBX6,-0.0005721964698382209
CBX7,-0.0003232388120094354
CC2D2A,-0.00010723197838349852
CCBE1,-0.0003381410409861174
CCDC102A,3.448970345373836e-05
CCDC106,-0.00043270844419301957
CCDC107,-0.00013541179332499098
CCDC109B,-0.0001809781085025941
CCDC120,-7.536860917950472e-06
CCDC136,-0.000464476575230105
CCDC149,-5.9145404889909825e-05
CCDC152,-0.00032931845135730775
CCDC28B,-0.000224857421396496
CCDC3,-0.00023435379205577478
CCDC34,-0.0005685823011302715
CCDC50,-0.0005539995054042457
CCDC64,-0.000164619774215502
CCDC64B,-0.0004235524565632809
CCDC68,-0.0002437611128451589
CCDC69,-0.0005463011902793191
CCDC74A,-0.0005568132129865344
CCDC74B,-0.00016623759080128253
CCDC78,-0.00025893277975883033
CCDC8,-0.0006455951579061037
CCDC80,-8.004757028304277e-05
CCDC85A,-0.00017249234028221538
CCDC85B,8.371978829121995e-05
CCDC85C,3.901650670212753e-06
CCDC88A,-0.00031867867532306415
CCDC88B,6.111098712069385e-05
CCDC88C,-0.00034381612876305256
CCDC92,-0.0010175753245944552
CCK,-0.00018332115426275553
CCL17,-0.00040724672779898774
CCL2,-0.0010380819077546455
CCL20,-0.00020019383695160653
CCL22,-0.0002481605104543705
CCL26,-0.0004937205456242988
CCL28,-0.00034344103364880585
CCL3,0.0001051250226509759
CCL5,-0.00034459333240732803
CCNA1,-0.00031954186663277206
CCNA2,-0.00031956511872785476
CCNB1,-0.00047141556309726607
CCNB1IP1,-0.00046139694604929726
CCND1,-0.0006978468742434296
CCND2,-0.0004763373540436211
CCND3,-0.0003118080364329645
CCNE1,-0.00038675530606285813
CCNE2,-0.00022786300315380537
CCNF,-0.00031540298379295617
CCNG1,-0.0010511321523542227
CCNG2,5.726648594073236e-05
CCNJL,-0.00034090683984541736
CCNO,-0.0002754363124609638
CCNYL1,-0.0005034585622337995
CCPG1,-0.0005221128800629027
CCR1,-6.853761063030372e-05
CCR10,-0.0004127896335072434
CCR4,-0.00043417100551254584
CCR7,-0.00017412164130853336
CD109,-0.0002228811808241693
CD14,-0.00012751617398562565
CD151,0.00024148391493394872
CD163L1,-0.00030913942858587506
CD180,-0.00030204516404497284
CD19,-0.00016570696872075796
CD200,-0.0002014100976681088
CD22,-3.7525936036841845e-05
CD247,-0.0002484591912362555
CD27,-0.00019339349450581134
CD274,-0.00030492375917451353
CD276,-0.00043154384939805834
CD28,-0.00019343592598147774
CD2AP,-0.0005443864649640195
CD302,-0.0003320252697762427
CD320,-0.0006458837551740204
CD33,-0.0002523512250074966
CD34,-0.0001779724077549949
CD36,9.628888759244392e-06
