key,value
0,0.00282297539524734
1,0.003512316383421421
2,0.17334488034248352
3,0.0004143863043282181
4,5.569670975091867e-05
5,0.017417196184396744
6,4.2494160879869014e-05
7,0.002755067776888609
8,0.04665817320346832
9,0.004813993349671364
10,0.30885159969329834
11,0.009916342794895172
12,0.0003932854742743075
13,0.00043020540033467114
